,Title,Year,Category,Score,Rank,title,year
0,Toy Story 2,1999,Certified Fresh,100,1,,
1,Pinocchio,1940,Certified Fresh,100,2,,
2,Old Yeller,1957,Fresh,100,3,,
3,The Many Adventures of Winnie the Pooh,1977,Fresh,100,4,,
4,Toy Story,1995,Certified Fresh,100,5,,
5,Finding Nemo,2003,Certified Fresh,99,6,,
6,Zootopia,2016,Certified Fresh,98,7,,
7,Cinderella,1950,Certified Fresh,98,8,Cinderella,1922
8,Cinderella,1950,Certified Fresh,98,8,Cinderella,2015
9,One Hundred and One Dalmatians,1961,Certified Fresh,98,9,,
10,Up,2009,Certified Fresh,98,10,,
11,Toy Story 3,2010,Certified Fresh,98,11,,
12,Inside Out,2015,Certified Fresh,98,12,,
13,The Incredibles,2004,Certified Fresh,97,13,,
14,Snow White and the Seven Dwarfs,1937,Certified Fresh,97,14,,
15,Coco,2017,Certified Fresh,97,15,,
16,Ratatouille,2007,Certified Fresh,96,16,,
17,"Monsters, Inc.",2001,Certified Fresh,96,17,,
18,Mary Poppins,1964,Certified Fresh,96,18,Mary Poppins,
19,Moana,2016,Certified Fresh,95,19,,
20,Aladdin,1992,Certified Fresh,95,20,Aladdin,
21,Aladdin,1992,Certified Fresh,95,20,Aladdin,2019
22,Soul,2020,Certified Fresh,95,21,,
23,WALL-E,2008,Certified Fresh,95,22,,
24,Dumbo,1941,Certified Fresh,95,23,Dumbo,1941
25,Dumbo,1941,Certified Fresh,95,23,Dumbo,2019
26,Fantasia,1940,Certified Fresh,95,24,,
27,Turning Red,2022,Certified Fresh,95,25,,
28,The Muppets,2011,Certified Fresh,95,26,,
29,The Straight Story,1999,Certified Fresh,94,27,,
30,Queen of Katwe,2016,Certified Fresh,94,28,,
31,The Jungle Book,2016,Certified Fresh,94,29,The Jungle Book,2016
32,Raya and the Last Dragon,2021,Certified Fresh,93,30,,
33,The Lion King,1994,Certified Fresh,93,31,,
34,Beauty and the Beast,1991,Certified Fresh,93,32,Beauty and the Beast,1991
35,Beauty and the Beast,1991,Certified Fresh,93,32,Beauty and the Beast,2017
36,Enchanted,2007,Certified Fresh,93,33,,
37,Lady and the Tramp,1955,Certified Fresh,93,34,Lady and the Tramp,2019
38,The Little Mermaid,1989,Certified Fresh,91,35,The Little Mermaid,2023
39,Bambi,1942,Certified Fresh,91,36,Bambi,
40,Bambi,1942,Certified Fresh,91,36,Bambi,
41,Encanto,2021,Certified Fresh,91,37,,
42,James and the Giant Peach,1996,Certified Fresh,91,38,,
43,Big Hero 6,2014,Certified Fresh,90,39,,
44,"20,000 Leagues Under the Sea",1954,Fresh,90,40,,
45,Frozen,2013,Certified Fresh,90,41,,
46,Winnie the Pooh,2011,Certified Fresh,90,42,,
47,The Parent Trap,1961,Fresh,90,43,,
48,Bolt,2008,Certified Fresh,90,44,,
49,Tangled,2010,Certified Fresh,89,45,,
50,Tarzan,1999,Certified Fresh,89,46,,
51,Sleeping Beauty,1959,Certified Fresh,89,47,,
52,The Jungle Book,1967,Certified Fresh,88,48,The Jungle Book,2016
53,Frankenweenie,2012,Certified Fresh,88,49,,
54,Onward,2020,Certified Fresh,88,50,,
55,Freaky Friday,2003,Certified Fresh,88,51,Freaky Friday,1976
56,Freaky Friday,2003,Certified Fresh,88,51,Freaky Friday,1995
57,Freaky Friday,2003,Certified Fresh,88,51,Freaky Friday,2003
58,Freaky Friday,2003,Certified Fresh,88,51,Freaky Friday,2018
59,Lilo & Stitch,2002,Certified Fresh,87,52,,
60,Homeward Bound: The Incredible Journey,1993,Fresh,87,53,,
61,Wreck-It Ralph,2012,Certified Fresh,87,54,,
62,The Parent Trap,1998,Certified Fresh,87,55,,
63,Pollyanna,1960,Fresh,86,56,,
64,Mulan,1998,Certified Fresh,86,57,,
65,The Emperor's New Groove,2000,Certified Fresh,86,58,,
66,The Princess and the Frog,2009,Certified Fresh,85,59,,
67,Bridge to Terabithia,2007,Certified Fresh,85,60,,
68,Cinderella,2015,Certified Fresh,84,61,Cinderella,1922
69,Cinderella,2015,Certified Fresh,84,61,Cinderella,2015
70,Alice in Wonderland,1951,Fresh,84,62,Alice in Wonderland,1951
71,Alice in Wonderland,1951,Fresh,84,62,Alice in Wonderland,2010
72,The Rookie,2002,Certified Fresh,84,63,,
73,Flight of the Navigator,1986,Fresh,84,64,,
74,Hercules,1997,Certified Fresh,82,65,,
75,Swiss Family Robinson,1960,Fresh,82,66,,
76,Miracle,2004,Certified Fresh,81,67,,
77,Pirates of the Caribbean: The Curse of the Black Pearl,2003,Certified Fresh,80,68,,
78,The Rescuers,1977,Fresh,79,69,,
79,The Love Bug,1968,Fresh,78,70,,
80,Holes,2003,Certified Fresh,78,71,,
81,The Muppet Christmas Carol,1992,Certified Fresh,77,72,,
82,Peter Pan,1953,Fresh,77,73,,
83,"Honey, I Shrunk the Kids",1989,Fresh,76,74,,
84,Cool Runnings,1993,Certified Fresh,76,75,,
85,The Great Mouse Detective,1986,Fresh,76,76,,
86,Cars,2006,Certified Fresh,75,77,,
87,The BFG,2016,Certified Fresh,75,78,,
88,The Fox and the Hound,1981,Fresh,75,79,,
89,Escape to Witch Mountain,1975,Fresh,73,80,Escape to Witch Mountain,1995
90,Tron,1982,Certified Fresh,73,81,,
91,The Santa Clause,1994,Certified Fresh,73,82,,
92,Invincible,2006,Fresh,72,83,,
93,Remember the Titans,2000,Fresh,72,84,,
94,Beauty and the Beast,2017,Fresh,71,85,Beauty and the Beast,1991
95,Beauty and the Beast,2017,Fresh,71,85,Beauty and the Beast,2017
96,The Hunchback of Notre Dame,1996,Fresh,71,86,,
97,The Sword in the Stone,1963,Fresh,68,87,,
98,The Little Mermaid,2023,Fresh,67,88,The Little Mermaid,2023
99,The Rocketeer,1991,Fresh,67,89,,
100,The Aristocats,1970,Fresh,64,90,,
101,Secretariat,2010,Fresh,64,91,,
102,Robin Hood,1973,Rotten,58,92,,
103,Aladdin,2019,Rotten,57,93,Aladdin,
104,Aladdin,2019,Rotten,57,93,Aladdin,2019
105,Pocahontas,1995,Rotten,54,94,,
106,Maleficent,2014,Rotten,54,95,Maleficent,
107,The Lion King,2019,Rotten,52,96,,
108,Alice in Wonderland,2010,Rotten,51,97,Alice in Wonderland,1951
109,Alice in Wonderland,2010,Rotten,51,97,Alice in Wonderland,2010
110,National Treasure,2004,Rotten,46,98,,
111,Hocus Pocus,1993,Rotten,40,99,,
112,Newsies,1992,Rotten,39,100,,
